question_id,db_id,correction,verification,Claimed by,question,evidence,SQL,original_question,original_evidence,original_SQL,Reason,Grading method,Data modification,need_correction (o3),has_ambiguity (o3),explanation (o3),revised_SQL (o3),Note
11,movie_platform,TRUE,FALSE,Yuxuan,"For all ratings which are rated in year 2020, name the titles of the movies which has the rating scored 4 and above.",,"SELECT DISTINCT m.`movie_title`
FROM `ratings` r
JOIN `movies`  m ON r.`movie_id` = m.`movie_id`
WHERE SUBSTR(r.`rating_timestamp_utc`,1,4) = '2020'
  AND r.`rating_score` >= 4;","For all ratings which are rated in year 2020, name the movies which has the rating scored 4 and above.",ratings in year 2020 refers to rating_timestamp_utc like '%2020%'; rating_score > = 4;,"SELECT T2.movie_title FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE CAST(SUBSTR(T1.rating_timestamp_utc, 1, 4) AS INTEGER) = 2020 AND CAST(SUBSTR(T1.rating_timestamp_utc, 6, 2) AS INTEGER) > 4","1. The original SQL missed the filter about rating and used a wrong filter about time
2. The original question does not specify the output column
",multiset,N/A,TRUE,FALSE," The correct conditions are (1) rating took place in 2020; (2) rating_score ≥ 4.  The given query satisfies only the first and then mistakenly applies a month filter, so its logic is wrong and the result set is incorrect.  The schema shows `rating_score` is available and should be used.  Distinct is advisable to avoid duplicate titles because a movie can receive many qualifying ratings.","```
SELECT DISTINCT m.`movie_title`
FROM `ratings` r
JOIN `movies`  m ON r.`movie_id` = m.`movie_id`
WHERE SUBSTR(r.`rating_timestamp_utc`,1,4) = '2020'
  AND r.`rating_score` >= 4;
```",
16,movie_platform,TRUE,FALSE,Yuxuan,,,SELECT list_title FROM lists WHERE list_followers = (SELECT MAX(list_followers) FROM lists) ,What is the name of the most followed list?,most followed list refers to MAX(list_followers);,SELECT list_title FROM lists ORDER BY list_followers DESC LIMIT 1,The original SQL does not consider ties.,multiset,To create a tie,FALSE,FALSE," The schema shows that `lists` contains the follower count (`list_followers`) and the list name (`list_title`). Selecting `list_title` ordered by `list_followers` in descending order and limiting the result to 1 returns the title of the list with the highest number of followers, which directly answers the question. The query references valid columns and needs no joins or additional filters. A possible tie on the maximum follower count would return only one of the tied lists, but because the question asks for “the name” in singular form, this is acceptable in typical evaluation settings.  ",—,
17,movie_platform,TRUE,FALSE,Yuxuan,,,SELECT list_url FROM lists WHERE list_update_timestamp_utc LIKE '2012%' AND list_followers BETWEEN 1 AND 2,What are the URL to the list page on Mubi of the lists with followers between 1-2 and whose last update timestamp was on 2012?,URL to the list page on Mubi refers to list_url; list_followers = 1 OR list_followers = 2; last update timestamp was on 2012 refers to list_update_timestamp_utc BETWEEN '2012-1-1' AND '2012-12-31';,SELECT list_url FROM lists WHERE list_update_timestamp_utc LIKE '2012%' AND list_followers BETWEEN 1 AND 2 ORDER BY list_update_timestamp_utc DESC LIMIT 1,The original SQL incorrectly used LIMIT.,multiset,N/A,TRUE,FALSE," The WHERE conditions (list_followers BETWEEN 1 AND 2 and list_update_timestamp_utc in 2012 via LIKE '2012%') are appropriate. However, ORDER BY … LIMIT 1 arbitrarily truncates the output; verification showed 742 qualifying rows, so the original query does not fully answer the question.","SELECT `list_url`
FROM `lists`
WHERE `list_followers` BETWEEN 1 AND 2
  AND `list_update_timestamp_utc` LIKE '2012%';",
25,movie_platform,TRUE,FALSE,Yuxuan,,,,Which year was the third movie directed by Quentin Tarantino released? Indicate the user ids of the user who gave it a rating score of 4.,third movie refers to third movie that has oldest movie_release_year;,"SELECT T2.movie_release_year, T1.user_id FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_id = ( SELECT movie_id FROM movies WHERE director_name = 'Quentin Tarantino' ORDER BY movie_release_year ASC LIMIT 2, 1 ) AND T1.rating_score = 4",correct,multiset,N/A,FALSE,FALSE," The query first finds Quentin Tarantino’s movies ordered by `movie_release_year` ascending and selects the record at offset 2 (`LIMIT 2,1`), which is the 3rd film chronologically in the data set – movie_id 161, “Pulp Fiction”, released in 1994.  It then joins `ratings` and `movies`, filters to that movie and to `rating_score = 4`, and outputs the release year together with every `user_id` who gave that score.  All referenced tables/columns exist, the join and filters are correct, and the result set answers both parts of the question (year and user IDs).  Duplicates are not an issue (one rating per user per movie).  While “third movie” could hypothetically be interpreted differently, chronological order is the natural, unambiguous interpretation here.",(no revision needed),
27,movie_platform,TRUE,FALSE,Yuxuan,"What is the average rating score of the movie ""When Will I Be Loved"" and who was its director? Show the average rating score and the name of its director.",,,"What is the average rating score of the movie ""When Will I Be Loved"" and who was its director?",average rating score = AVG(rating_score);,"SELECT AVG(T1.rating_score), T2.director_name FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'When Will I Be Loved'",The original question does not specify which attribute of the director should be returned.,multiset,N/A,FALSE,FALSE," The query filters the `movies` and `ratings` tables for the movie title ""When Will I Be Loved"", then computes AVG(rating_score) and returns the associated director_name. There is only one row in `movies` with that title (movie_id 1068, director James Toback); hence the director column is unique and the AVG is calculated over all ratings for that movie. Although the query omits GROUP BY for the non-aggregated column, SQLite still returns a single row with the correct director (because all rows have the same value), so the result is correct for this database. No ambiguity exists in the question.",(no change needed),
37,movie_platform,TRUE,FALSE,Yuxuan,"How many users rated the movie ""The Magnificent Ambersons"" and gave a rating score of no more than 2?",The Magnificent Ambersons refers to movie_title; rating score of no more than 2 refers to rating_score<2,SELECT COUNT(T2.user_id) FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_title = 'The Magnificent Ambersons' AND T2.rating_score <= 2,"How many users rated the movie ""The Magnificent Ambersons"" gave a rating score of no more than 2? List all the URL to the rating on Mubi.",The Magnificent Ambersons refers to movie_title; rating score of no more than 2 refers to rating_score<2; URL to rating refers to rating_url,"SELECT COUNT(T2.user_id), T2.rating_url FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_title = 'The Magnificent Ambersons' AND T2.rating_score <= 2","1. Selection and aggregation cannot be returned in the same query. So, we modified the question.
2. user_id are duplicated after the join. COUNT(DISTINCT ...) should be used.",multiset,N/A,TRUE,FALSE," The query runs but is logically wrong.
• It counts rating rows, not distinct users, so the returned count (71) over-states the requested “how many users” (there are 70 distinct users).
• It selects a single `rating_url` together with an aggregate without GROUP BY; SQLite merely returns an arbitrary URL (the first one).  The question asks to “list all the URL to the rating”, so every qualifying rating URL should be returned, not just one.
• Mixing an aggregate expression and a non-aggregated column without GROUP BY is bad practice and would fail in most SQL engines.
Therefore the annotated query does not correctly answer the question.
  ","-- number of users
SELECT COUNT(DISTINCT r.`user_id`) AS user_cnt
FROM   movies m
JOIN   ratings r ON m.`movie_id` = r.`movie_id`
WHERE  m.`movie_title` = 'The Magnificent Ambersons'
  AND  r.`rating_score` <= 2;

-- list of URLs for those ratings
SELECT r.`rating_url`
FROM   movies m
JOIN   ratings r ON m.`movie_id` = r.`movie_id`
WHERE  m.`movie_title` = 'The Magnificent Ambersons'
  AND  r.`rating_score` <= 2;",
38,movie_platform,TRUE,FALSE,Yuxuan,"Among users who created a list in the February of 2016 and were eligible for trial when they created the list, which user has the most number of followers in their list in February of 2016? Indicate their ids.",,"WITH eligible_users AS (SELECT l.user_id AS user_id,
           l.list_followers AS list_followers
    FROM   `lists`       AS l
    JOIN   `lists_users` AS lu
           ON l.list_id = lu.list_id
          AND l.user_id = lu.user_id
    WHERE  lu.list_creation_date_utc BETWEEN '2016-02-01' AND '2016-02-29' AND user_eligible_for_trial = '1'
)
SELECT DISTINCT user_id FROM eligible_users WHERE list_followers = (SELECT MAX(list_followers) FROM eligible_users)",How many users who created a list in the February of 2016 were eligible for trial when they created the list? Indicate the user id of the user who has the most number of followers in his list in February of 2016.,"created a list in the February of 2016 refer to list_creation_date_utc BETWEEN 2/1/2016 and 2/29/2016; eligible for trial refers to user_eligible_for_trial = 1;
",SELECT T1.list_followers FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.user_id = T2.user_id AND T1.list_id = T2.list_id WHERE T2.list_creation_date_utc BETWEEN '2016-02-01' AND '2016-02-29' AND T2.user_eligible_for_trial = 1,"1. Aggregation and selection cannot be returned in the same query. So, we modified the question.
2. The original query does not consider the condition of most followers.",multiset,N/A,TRUE,FALSE,"
• Required logic: filter `lists_users` rows with `list_creation_date_utc` between '2016-02-01' and '2016-02-29', join to `lists` to get `list_followers`.
  – Part 1: COUNT(DISTINCT user_id) where `user_eligible_for_trial = '1'`.
  – Part 2: pick the user_id of the row with the maximum `list_followers` (no eligibility restriction).
• Annotated query selects only `list_followers`, so it answers neither requirement.
• Because it keeps the eligibility filter for all rows, it would also exclude non-eligible users when determining the “most-followers” user, even if that step were present.
• It compares an integer 1 to a TEXT column (`user_eligible_for_trial`), relying on implicit type coercion.
","```
WITH feb2016 AS (
    SELECT l.list_id,
           l.user_id,
           l.list_followers,
           lu.user_eligible_for_trial
    FROM   `lists`       AS l
    JOIN   `lists_users` AS lu
           ON l.list_id = lu.list_id
          AND l.user_id = lu.user_id
    WHERE  lu.list_creation_date_utc BETWEEN '2016-02-01' AND '2016-02-29'
)
SELECT
    /* number of users eligible for trial when they created a Feb-2016 list */
    (SELECT COUNT(DISTINCT user_id)
       FROM feb2016
      WHERE user_eligible_for_trial = '1') AS eligible_user_count,
    /* user_id whose Feb-2016 list has the most followers */
    (SELECT user_id
       FROM feb2016
      ORDER BY list_followers DESC, user_id
      LIMIT 1)                             AS most_followed_user_id;
```",
40,movie_platform,TRUE,FALSE,Yuxuan,"For each director who have directed at least 10 movies between 1960 and 1985, among the movies directed by this director between 1960 and 1985, what is the name of the movie that received the highest amount of 5 rating score.","directed at least 10 movies refers to count(direct_name)>=10; 1960 to 1985 refer to movie_release_year
","WITH qualifying_directors AS (
    SELECT `director_id`
    FROM `movies`
    WHERE `movie_release_year` BETWEEN 1960 AND 1985
    GROUP BY `director_id`
    HAVING COUNT(*) >= 10
),
qualifying_movies AS ( 
    SELECT m.movie_id, m.director_id, m.movie_title
    FROM movies m
    JOIN qualifying_directors qd ON m.director_id = qd.director_id
    WHERE movie_release_year BETWEEN 1960 AND 1985
    GROUP BY m.movie_id
),
movie_five_counts AS ( 
    SELECT qm.movie_id, qm.director_id, qm.movie_title,
           SUM(CASE WHEN r.`rating_score` = 5 THEN 1 ELSE 0 END) AS five_count
    FROM qualifying_movies qm
    LEFT JOIN ratings r ON r.movie_id = qm.movie_id
    GROUP BY qm.movie_id
),
max_five_counts AS (
    SELECT `director_id`, MAX(`five_count`) AS max_five
    FROM movie_five_counts
    GROUP BY `director_id`
)
SELECT mvfc.movie_title, mxfc.max_five
FROM movie_five_counts mvfc
JOIN max_five_counts mxfc
ON mvfc.director_id = mxfc.director_id AND mvfc.five_count = mxfc.max_five
",How many directors have directed atleast 10 movies between 1960 to 1985? Indicate the name of the movie in those years of each director that received the highest amount of 5 rating score.,"directed at least 10 movies refers to count(direct_name)>10; 1960 to 1985 refer to movie_release_year
",SELECT T2.director_name FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_release_year BETWEEN 1960 AND 1985 GROUP BY T2.director_name HAVING COUNT(T2.movie_id) > 10,"1. Aggregation and selection cannot be returned by the same query. So, we modified the question.
2. The original query incorrectly returned the director name.
3. ""at least 10"" should mean "">=10"" instead of "">10"" in the original evidence.",multiset,N/A,TRUE,FALSE," The annotated query only lists director names where the JOINed ratings rows exceed 10. It (1) counts rating rows, not distinct movies, so directors with few movies but many ratings could be included or vice-versa; (2) uses a strict “> 10” instead of “>= 10”; (3) does not return the total number of such directors; (4) ignores the requirement to supply each director’s movie between 1960-1985 that received the largest number of 5-star ratings; (5) does not filter on rating_score = 5. Hence it fails to answer either part of the question.","WITH qualifying_directors AS (
    SELECT `director_id`, `director_name`
    FROM `movies`
    WHERE `movie_release_year` BETWEEN 1960 AND 1985
    GROUP BY `director_id`
    HAVING COUNT(*) >= 10
),
movie_five_counts AS (
    SELECT m.`movie_id`, m.`movie_title`, m.`director_id`,
           SUM(CASE WHEN r.`rating_score` = 5 THEN 1 ELSE 0 END) AS five_count
    FROM `movies` m
    LEFT JOIN `ratings` r ON r.`movie_id` = m.`movie_id`
    WHERE m.`movie_release_year` BETWEEN 1960 AND 1985
    GROUP BY m.`movie_id`
),
max_five AS (
    SELECT `director_id`, MAX(`five_count`) AS max_five
    FROM movie_five_counts
    GROUP BY `director_id`
),
best_movies AS (
    SELECT mfc.`director_id`, mfc.`movie_title`, mfc.`five_count`
    FROM movie_five_counts mfc
    JOIN max_five mf
      ON mf.`director_id` = mfc.`director_id`
     AND mf.max_five = mfc.`five_count`
)
SELECT (SELECT COUNT(*) FROM qualifying_directors) AS num_directors,
       q.`director_name`,
       bm.`movie_title`,
       bm.`five_count`
FROM qualifying_directors q
JOIN best_movies bm ON bm.`director_id` = q.`director_id`
ORDER BY q.`director_name`;",
53,movie_platform,TRUE,FALSE,Yuxuan,,created after 2010/1/1 refers to list_creation_timestamp_utc>'2010/1/1'; over 200 followers refers to list_followers>200;,SELECT COUNT(*) FROM lists WHERE list_followers > 200 AND list_creation_timestamp_utc > '2010-01-01',"Among the movie lists created after 2010/1/1, how many of them have over 200 followers?",created after 2010/1/1 refers to list_update_timestamp_utc>'2010/1/1'; over 200 followers refers to list_followers>200;,SELECT COUNT(*) FROM lists WHERE list_followers > 200 AND list_update_timestamp_utc > '2010-01-01',"The original query and evidence uses list_update_timestamp_utc, while the question asks for the creation time.",multiset,N/A,TRUE,FALSE," The lists table has both `list_creation_timestamp_utc` (creation) and `list_update_timestamp_utc` (last update). The question asks about creation date. Running the annotator’s query (filtering on update timestamp) returns 260 lists, but filtering on the correct creation timestamp returns 210. Hence the original query is incorrect.","SELECT COUNT(*)
FROM `lists`
WHERE `list_followers` > 200
  AND `list_creation_timestamp_utc` > '2010-01-01';",
54,movie_platform,TRUE,FALSE,Yuxuan,,,,How many movie lists were created by user 83373278 when he or she was a subscriber?,the user was a subscriber when he created the list refers to user_subscriber = 1; user 83373278 refers to user_id = 83373278;,SELECT COUNT(*) FROM lists_users WHERE user_id = 83373278 AND user_subscriber = 1,correct,multiset,N/A,FALSE,FALSE," The question asks for the count of movie lists created by the specific user while being a subscriber. Table `lists_users` records every list-creation event and includes the flag `user_subscriber` that is 1 when the user was a subscriber at that moment. Because the primary key `(user_id, list_id)` guarantees one row per list, `COUNT(*)` over rows where `user_id = 83373278` and `user_subscriber = 1` returns exactly the desired number. No joins, DISTINCT, or other filters are necessary, and the query follows the schema correctly.  ",(no change needed),
