question_id,corrected by,verified by,db_id,question,evidence,SQL,original_question,original_evidence,original_SQL,reason,SQL error pattern,verification (Tengjun),response,verification (Yoojin),response,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
3,Yuxuan,Tengjun,movie_platform,Name the titles of the movies with the most ratings.,movie with the most rating refers to MAX(COUNT(ratings));,"SELECT m.movie_title FROM movies AS m JOIN ratings AS r ON m.movie_id = r.movie_id GROUP BY m.movie_id, m.movie_title HAVING COUNT(*) = (SELECT COUNT(*) FROM movies AS m JOIN ratings AS r ON m.movie_id = r.movie_id GROUP BY m.movie_id, m.movie_title ORDER BY COUNT(*) DESC LIMIT 1);",Name the movie with the most ratings.,movie with the most rating refers to MAX(SUM(rating_score));,SELECT movie_title FROM movies GROUP BY movie_title ORDER BY COUNT(movie_title) DESC LIMIT 1,"the annotated query looks only at the movies table, so it counts how many identical title strings exist, not how many rating records each movie has. It therefore cannot determine which movie received the most ratings. In addition, the original query does not consider potential ties in the data.","ties, wrong or missing joins",,,,,,,,,,,,,,,,,,,,
19,Yuxuan,Tengjun,movie_platform,"For movie id 1269, how many users, who was a paying subscriber and was eligible for trial when he rated the movie, gave the movie a rating score of less than or equal to 2?",paying subscriber refers to user_has_payment_method = 1; eligible for trial refers to user_eligible_for_trial = 1; rating_score< = 2;,SELECT COUNT(DISTINCT user_id) FROM ratings WHERE movie_id = 1269 AND rating_score <= 2 AND user_eligible_for_trial = 1 AND user_has_payment_method = 1,,,SELECT COUNT(*) FROM ratings WHERE movie_id = 1269 AND rating_score <= 2 AND user_eligible_for_trial = 1 AND user_has_payment_method = 1,"Since user_id is not a primary key, using COUNT(DISTINCT user_id) will be safer against potential duplicate ratings.",,,,,,,,,,,,,,,,,,,,,
33,Yuxuan,Tengjun,movie_platform,"Among the lists created by user 4208563, which ones have the highest number of followers? Indicate the list ids, how many followers they have, and whether the users were a subscriber or not when they created the lists.","User 4208563 refers to user_id;highest number of followers refers to MAX(list_followers); user_subscriber = 1 means that the user was a subscriber when he created the list; user_subscriber = 0 means the user was not a subscriber when he created the list (to replace); return 1 if the user was a subscriber when the list was created. Otherwise, return 0.","SELECT T2.list_id, T1.list_followers, T2.user_subscriber = 1 FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.user_id = T2.user_id AND T2.list_id = T2.list_id WHERE T2.user_id = 4208563 AND T1.list_followers = (SELECT MAX(T1.list_followers) FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.user_id = T2.user_id AND T2.list_id = T2.list_id WHERE T2.user_id = 4208563);","Among the lists created by user 4208563, which one has the highest number of followers? Indicate how many followers it has and whether the user was a subscriber or not when he created the list.",User 4208563 refers to user_id;highest number of followers refers to MAX(list_followers); user_subscriber = 1 means that the user was a subscriber when he created the list; user_subscriber = 0 means the user was not a subscriber when he created the list (to replace),"SELECT T1.list_followers, T2.user_subscriber = 1 FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.user_id = T2.user_id AND T2.list_id = T2.list_id WHERE T2.user_id = 4208563 ORDER BY T1.list_followers DESC LIMIT 1",The original query missed a required output filed and the evidence does not specify how we should indicate whether a user was a subscriber. The original SQL does not consider the situation when there are multiple lists having the highest number of followers.,,The output columns is unclear,corrected,,,,,,,,,,,,,,,,,,
47,Yuxuan,Tengjun,movie_platform,What are the titles of the movies directed by Christopher Nolan that have received the highest number of 5 rating scores.,5 rating scores refer to rating_score; Christopher Nolan refer to director_name,SELECT m.movie_title FROM movies AS m LEFT JOIN ratings AS r ON m.movie_id = r.movie_id AND r.rating_score = 5 WHERE m.director_name = 'Christopher Nolan' GROUP BY m.movie_id HAVING COUNT(CASE WHEN r.rating_score = 5 THEN 1 END) = (SELECT COUNT(CASE WHEN r.rating_score = 5 THEN 1 END) cnt FROM movies AS m LEFT JOIN ratings AS r ON m.movie_id = r.movie_id AND r.rating_score = 5 WHERE m.director_name = 'Christopher Nolan' GROUP BY m.movie_id ORDER BY cnt DESC LIMIT 1);,What is the average popularity of each movie that was directed by Christopher Nolan? Indicate which movie directed by him has received the highest number of 5 rating scores.,5 rating scores refer to rating_score; Christopher Nolan refer to director_name; average popularity of each movie refer to AVG(movie_popularity where director_name = 'Christopher Nolan'),SELECT AVG(T2.movie_popularity) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.director_name = 'Christopher Nolan',"1. It returns **one single scalar value**, not the popularity for *each* Nolan movie as requested. 2. Because it joins to the `ratings` table, every rating row replicates the same `movie_popularity`, so movies with more ratings are over-weighted and the result is wrong even for “average of all movies”.  A direct query on `movies` should be used. 3. It totally ignores the second part of the question: “Indicate which movie directed by him has received the highest number of 5 rating scores. The question itself is ambiguous: “average popularity of each movie” can be interpreted either as (a) list the popularity value of every Nolan movie, or (b) compute the average popularity across all his movies. Both are reasonable, so the intent is unclear. In addition, the original query does not consider potential ties in the data.","ties, duplicates, wrong or missing joins",The output columns is unclear,corrected,,,,,,,,,,,,,,,,,,
50,Yuxuan,Yoojin,movie_platform,How many movie lists were still updated more than 10 years after it was created?,updated more than 10 years after it was created refers to list_update_timestamp_utc > (list_creation_timestamp_utc+10);,"SELECT COUNT(*) FROM lists WHERE SUBSTR(list_update_timestamp_utc, 1, 4) - SUBSTR(list_creation_timestamp_utc, 1, 4) > 10",How many movie lists were still updated 10 years after it was created?,updated 10 years after it was created refers to list_update_timestamp_utc > (list_creation_timestamp_utc+10);,,"It is unclear whether ""updated 10 years after it was created"" includes the 10th year.",,where is the SQL,corrected,,,,,,,,,,,,,,,,,,
76,Yuxuan,Tengjun,movie_platform,Which film got 1 like and 2 comments in user 58149469's critic? Indicate the movie titles.,user 58149469 refers to user_id = 58149469; critic with 1 like refers to critic_likes = 1; critic with 2 comments refers to critic_comments = 2;,SELECT T2.movie_title FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T1.user_id = 58149469 AND T1.critic_likes = 1 AND T1.critic_comments = 2,User 58149469's critic on which film got 1 like and 2 comments?,,,correct,,,,,,,,,,,,,,,,,,,,,
80,Yuxuan,Tengjun,movie_platform,"Please list the movies rated by the user who created the movie list ""250 Favourite Films"".",250 Favourite Films' is list_title; movies refers to movie_title;,SELECT T2.movie_title FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id INNER JOIN lists AS T3 ON T3.user_id = T1.user_id WHERE T3.list_title = '250 Favourite Films',,,,correct,,,,,,,,,,,,,,,,,,,,,
88,Yuxuan,Yoojin (response),movie_platform,Which of the films directed by Paul Thomas Anderson are the most popular among Mubi users? List the movie titles.,Paul Thomas Anderson is the director name; the most popular refers to Max(movie_popularity); films refers to movies;,SELECT movie_title FROM movies WHERE director_name = 'Paul Thomas Anderson' AND movie_popularity = (SELECT MAX(movie_popularity) FROM movies WHERE director_name = 'Paul Thomas Anderson'),Which of the films directed by Álex de la Iclesia is the most popular among Mubi users?,Alex de la Iclesia is the director name; the most popular refers to Max(movie_popularity); films refers to movies;,SELECT movie_title FROM movies WHERE director_name = 'Åke Sandgren' ORDER BY movie_popularity DESC LIMIT 1,"The query uses the wrong director name (Åke Sandgren) and therefore does not answer which Álex de la Iglesia film is most popular. Since there are no data record that satisfies the requirements of the original question, we modified the predicate.","ties, wrong or missing predicates, empty result",Empty result,corrected,no need to consider ties? (although there's none in the current db),corrected SQL; modified DB: https://github.com/uiuc-kang-lab/noisy-rl/blob/main/BIRD-Platinum/db_modification/88.sql,,,,,,,,,,,,,,,,
92,Yuxuan,Tengjun,movie_platform,Please provide the titles of the lists with the most comments on the lists.,the most comments refers to Max(list_comments);,SELECT list_title FROM lists WHERE list_comments = (SELECT MAX(list_comments) FROM lists);,Please provide the title of the list with the most comments on the list.,,SELECT list_title FROM lists GROUP BY list_title ORDER BY COUNT(list_comments) DESC LIMIT 1,"The `lists` table already stores the total number of comments for each list in the column `list_comments`. Grouping by `list_title` and ordering by `COUNT(list_comments)` only ranks duplicate titles, not comment totals. The original query does not consider the case when there are multiple lists having the same most comments.",,,,,,,,,,,,,,,,,,,,,
93,Yuxuan,Yoojin,movie_platform,Which film released in 2008 has the highest average rating score? List the movie titles.,film released in 2008 refers to movie_release_year = 2008; scored the highest refers to Max(AVG(rating_score)); film refers to movie;,SELECT m.movie_title FROM movies AS m JOIN ratings AS r ON r.movie_id = m.movie_id WHERE m.movie_release_year = 2008 GROUP BY m.movie_id HAVING AVG(r.rating_score) = (SELECT AVG(r.rating_score) FROM movies AS m JOIN ratings AS r ON r.movie_id = m.movie_id WHERE m.movie_release_year = 2008 GROUP BY m.movie_id ORDER BY AVG(r.rating_score) DESC LIMIT 1);,Which of the film released in 2008 scored the highest?,film released in 2008 refers to movie_release_year = 2008; scored the highest refers to Max(rating_score); film refers to movie;,SELECT T2.movie_title FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_release_year = 2008 ORDER BY T1.rating_score DESC LIMIT 1,"The original query simply orders all (movie,rating) rows for 2008 releases by the individual rating_score and returns the first title. Because rating_score ranges only from 1-5, every movie that has at least one score of 5 is tied for ""highest"". The query will therefore return an arbitrary 2008 movie that happens to appear first with a score of 5, not necessarily the one with the best overall performance. Moreover, duplicates created by multiple 5-star ratings for the same movie are not handled. A more faithful interpretation would compare films on an aggregated metric (e.g., average rating or maximum rating per film) before choosing the top film. In addition, the original query does not consider ties in the database.",ties,tie,corrected,,,,,,,,,,,,,,,,,,
